#,Years of experience,Company that you applied for,Position that you apply for,Company where you worked previously,Your last position at your last company where you worked,Skills,Intro,Why me,Experience,Why company,Outro,Quality intro,Quality why me,Quality experience,Quality why company,Quality outro,,,,Skills
11,4,Steam,Digital marketing specialist,Sony,Digital marketing specialist,"AB-tests, Figma, Canva, Google Ads, Facebook ads, SEO, Digital Marketing, Data Management, unit-economy",,This is a perfect role for me because I need to work with data and I really like to see it in action. I enjoy working with digital marketing teams and feel that this role will allow me to learn more about this area.,"In my previous position, I helped to develop and implement a mobile strategy for Sony, which included the creation of a digital marketing plan, the implementation of mobile campaigns, and the development and implementation of digital strategies. I was also responsible for the creation and maintenance of an SEO strategy. I am currently interested in working in the digital marketing industry.","Valve is one the best in the world and I am looking for a job where I can use my skills. I will be applying for the digital marketing position because this will help me to develop my skills and gain valuable knowledge. If you would like, you can review my portfolio on my LinkedIn profile.",,0,0.7,0.9,0.8,0,,,,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API"
12,5,Exxon Mobile,Supply Chain Manager,BP,Supply Chain Manager,"Managing daily purchasing activities, supervising staff, and allocating tasks.
Managing supplier relations
Maintaining the supplier database, purchase records, and related documentation
Negotiations, 

Develops and implements a procurement strategy for the commodities they manage including competitive, technology direction, supplier analysis, development and selection and pricing strategy",,"In my current role of Supply Chain Manager at BP, I help manage the daily operations of our purchasing department. I provide support to all levels of management on our buying process. I manage our supplier database and ensure all agreements are met. I oversee the purchasing process and ensure the delivery of products to our customers.
","When I was hired to fill this position, I knew I needed to learn a lot. So, I enrolled in and completed the course, “Fundamentals of Procurement”. With the information I learned, I was able to develop the strategy, tactics, and processes needed for effective procurement.","ExxonMobil is one of my favorite companies to apply for because I love their culture. I look forward to working with their team members to ensure effective and efficient business operations. As a Supply Chain Manager, I will be responsible for managing daily purchasing activities and supervising the staff.",,0,1,0.6,0.7,0,,,,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API, MongoDB, Git, Bitbucket, Jira, team management "
13,5,Exxon Mobile,Supply Chain Manager,BP,Supply Chain Manager,"Managing daily purchasing activities, supervising staff, and allocating tasks.
Managing supplier relations
Maintaining the supplier database, purchase records, and related documentation
Negotiations, 

Develops and implements a procurement strategy for the commodities they manage including competitive, technology direction, supplier analysis, development and selection and pricing strategy",,"In my current role as Supply Chain manager at BP, I manage a global sourcing organization for a wide range of commodities and products. This includes petroleum products, fuels, lubricants, lubricated materials, and specialty chemicals.","I have a background in logistics, procurement, and supply chain, with 10+ years of experience as an internal logistics manager, project manager, or supply chain manager at a Fortune 500 company. This experience allows me to manage complex supply chains, integrate new suppliers, and coordinate the movement of goods through the supply chain.","ExxonMobil is my best choice, because this is a company with a great history of success. ExxonMobil vision is to provide the best quality products and services to customers around the world. I want to contribute to this vision by working in a team of experts who share the same vision and passion for excellence.",,0,0.9,0.3,0.9,0,,,,"Objective-C, С++, HTML, C#, Swift, Core Data, OOP, XCode, ARC, Cocoa Touch"
14,4,Airbus,Frontend developer,Boeing,Frontend developer,"HTML, CSS, JavaScript, TypeScript, Node.JS, REST API, Webpack, CI/CD",,"While at Boeing I helped to build and maintain a React.js application that was used by several teams within the company during the production phase. I developed an intuitive and responsive front end for the application, while also optimizing the site for performance and accessibility.","As a frontend developer at Boeing, I focus on making the UI and layout of websites look and feel great. As a backend developer, my work focuses on maintaining and writing code in modern JavaScript technology that scales well. I strive to be the perfect team member, always striving to provide value to my team and company.","Airbus is a global leader in the aerospace industry providing people with the best in aviation. Their mission is to make the world a better place. They have a strong reputation for innovation, quality, sustainability and a commitment to teamwork. I wanted to work with a company with a similar reputation, so I decided to apply for Airbus.",,0,0.7,0.9,1,0,,,,"CSS , HTML, Ruby, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++"
15,4,Airbus,Frontend developer,Boeing,Frontend developer,"HTML, CSS, JavaScript, TypeScript, Node.JS, REST API, Webpack, CI/CD",,"My experience in the aerospace industry allows me to utilize a diverse set of skills and expertise, ranging from design and development to management and business analysis. As an aerospace engineer, I gained valuable experience during my work on the Boeing 737 MAX and Boeing 777X.",I’d like to work with Airbus to help with some of their biggest challenges when it comes to building software. I would be excited to contribute to the development of yours software as well as help you learn how to build software more efficiently.,Airbus is my candidate because of their reputation and vision of creating the best products for the customers. I want to have a chance to contribute to a project that will be a major breakthrough for Airbus.,,0,0,0.5,0.7,0,,,,"CSS , HTML, Ruby, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP"
16,8,Netflix,Senior frontend developer,Disney+,Frontend developer,"HTML, CSS, JavaScript, TypeScript, Node.JS, REST API, Webpack, CI/CD, React.JS, GIT, GraphQL, Next. js, Angular, OOP",,"Over the past few years I have had the opportunity to work on several different projects with different teams and at different stages of development. I consider myself a highly versatile and effective developer, who knows how to solve problems with a broad range of tools, technologies, frameworks, and methodologies.
","I’d love to work with team members who are passionate about building great products and have a strong desire to learn and grow with new technologies. Additionally, I enjoy a collaborative work environment and being able to contribute to a company’s overall mission and vision. I look forward to learning about Netflix’s business and working closely with the team.","One of my biggest dream is to work with Netflix, a company with a legacy of creating original content. I really enjoy their culture which encourages collaboration, innovation, and creativity. Having been a large user of Netflix I know the service and its products very well, which make me confident that my work will be very appreciated.",,0,0.8,0.6,1,0,,,,"HTML, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++, C#, MariaDB, MongoDB, Kubernetes, NodeJS, Team Management, People management, Math statistic "
17,8,Netflix,Senior frontend developer,Disney+,Frontend developer,"HTML, CSS, JavaScript, TypeScript, Node.JS, REST API, Webpack, CI/CD, React.JS, GIT, GraphQL, Next. js, Angular, OOP",,"Over the past 12 months, I've worked on a number of projects within the Disney+ platform including the creation of the brand experience for the D23 Expo in Las Vegas, the launch of the new Disney+ app, and the transition of the Disney+ website to the new platform.","I have experience with React and Redux, built a simple but functional React application. I also have experience in Angular and Vue.js. I was responsible for building a REST API for an internal web application that allowed users to share content on different channels. The API has been developed using Node.js, Express, Mongoose, and Webpack.
",We are looking for a talented senior frontend developer to join our team at Netflix. You will be responsible for building web applications for our streaming service.,,0,0.9,1,0,0,,,,"HTML, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++, C#, MariaDB, MongoDB, Kubernetes, NodeJS, Team Management, People management, Algorythms, Data Structure "
18,5,GitHub,Backend developer,Bloomberg,Backend developer,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API",,"Having worked at Bloomberg, I understand the importance of high quality products and services. I'm looking for a position where I can use my skills and experience to build a strong foundation for my career. I look forward to learning more about your product and company culture.","I would be happy to join and work on any of the following projects:
1. Building out the infrastructure for the Bloomberg AI platform (BAP)
2. Integrating Bloomberg into the Hive platform
3. Building out Bloomberg’s machine learning capabilities
4. Building out new products and features
5. Building out a new product",GitHub is my favorite company as it offers the best chance to get into the field of software development and make a career out of it. I see many opportunities for growth here and eager to start to work here. That's why I want to become a part of this company.,,0,0.4,0,1,0,,,,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API, MongoDB, Git, Bitbucket, Jira, Team Management, People management, Algorythms, Data Structure, Symfony, Codeigniter, Yii, Zend Framework, Kohana"
19,5,GitHub,Backend developer,Bloomberg,Backend developer,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API",,I would love to work with some of the most innovative companies in the world. I would like to help them build high-quality products that people love using. I am passionate about building great products and I am eager to learn from some of the industry’s most successful founders.,"In my previous position at Bloomberg, I had the opportunity to build, launch, and maintain various infrastructure products, including a REST API, a database, and many other backend web applications. I have also been involved in the design and development of various business tools and processes, including our global financial data service.","GitHub is an amazing place to work. At the same time, it is also a place where you can grow and learn. This company is known for its progressive management, which gives employees the freedom to innovate and develop. In addition, GitHub has a culture that is based on transparency, team and user-friendly environment.",,0,1,0.8,1,0,,,,"jQuery, Angular.JS, React.JS, Backbone.js, CSS, JavaScript, W3C, WHATWG, HTML5, CSS3, Polyfills, SQL, MongoDB, MySQL, AWS"
20,6,VTB,Backend developer,SberBank,Backend developer,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API, MongoDB, Git, Bitbucket, Jira, team management ",,Since joining Sberbank in 2018 I have managed to grow my skills in Web development and be a part of many successful projects. I'm also a proficient team player who is passionate about delivering high quality work.,"I’d like to apply my skills to a technical role at VTB. The company is a large bank, with an international presence. As a backend developer, I would be responsible for writing scalable, high-performance, production-ready code, using modern technologies, in close collaboration with other developers.",VTB is a great company with high-quality products and services. I’m looking for a position where I can apply my skills and experience. In VTB I will be able to develop new technologies and learn a lot of things. I know that VTB has a high reputation in Russia and worldwide.,,0,0.8,1,0.9,0,,,,"VBA, Python, R, SQL, C++, Data management, Data validation, Team management, RL, ML"
21,6,Tinkoff,Lead Backend developer,Yandex.Bank,Backend developer,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API, MongoDB, Git, Bitbucket, Jira, team management ",,"Having worked at Yandex.bank since 2015, I have gained a lot of valuable experience over the past two years. In my current role as Lead Backend Developer, the main focus is to make the backend work faster and more reliable. I manage a team of 4 developers and I’d like to continue working in the same direction in a different role.","I’ll be able to provide the following:
- The ability to work effectively in a distributed team (we are a global team) and solve complex problems.
- To solve problems in a fast-paced environment, with a high amount of change.
- Ability to solve a wide range of problems both technical and non-technical.
","TINKOFF is my favorite company among other consulting ones, because all the products that you develop are not only innovative, but they are also highly profitable. You have a lot of talented people, who are always eager to take on new challenges and improve their skills.",,0,0.3,0.8,1,0,,,,"VBA, Python, R, SQL, C++, Data management, Data validation, Team management, RL, ML, statistics and math, AB-tests"
22,6,Citadel,iOS-developer,Stripe,iOS-developer,"Objective-C, С++, HTML, C#, Swift, Core Data, OOP, XCode, ARC, Cocoa Touch",,You are a talented iOS developer with over 6 years of experience. You have experience with iOS and Swift. Your iOS skills include Swift and Objective-C. You are familiar with Cocoa Touch frameworks and core data. You're proficient in OOP and unit testing. You know how to build and release high quality applications.,"If you are an experienced iOS developer, you should have a strong understanding of Cocoa-Touch, Objective-C and Swift. You should be comfortable working with CoreData and CoreData stack. You also should know how to use ARC, which is a big part of iOS development. You must be willing to learn and understand new technologies and frameworks.","My company Citadel is a leading provider of financial services, offering a wide range of products and services to our customers. I love working with a passionate team of professionals, who are all committed to making a difference. I hope to have the opportunity to contribute to your success.",,0,0.4,0.1,0.7,0,,,,"MS Office, Excel, CFA lvl.1, Deal management, M&A, Business modelling, Financial Modelling"
23,8,Citadel,iOS-developer,Stripe,iOS-developer,"Objective-C, С++, HTML, C#, Swift, Core Data, OOP, XCode, ARC, Cocoa Touch",,"If you think about it, we are all “developers” in some way. As a developer, you create apps for yourself, your clients, and for others around the world. You are a facilitator of change who builds things that change the world, both with your code and with your design.","While working at Stripe I helped lead the team responsible for building the Stripe CocoaTouch library. This library is a key component of Stripe’s Android and iOS client libraries. During the course of this work I was tasked with building new features and integrations for Stripe, as well as maintaining existing functionality.","In my opinion Citadel is the most promising company in the software industry. You can see it for yourself, as you are a leader in the field of blockchain technology. In my view, any company that strives to build a successful business on blockchain technology is worthy of my attention.",,0,0,0.8,0.6,0,,,,"POSTman, SQL, Jira, Slack, Structured approach"
24,2,Bloomberg,iOS-developer,Axios,Junior iOS-developer,"Objective-C, С++, HTML, C#, Swift, Core Data, OOP, XCode, ARC, Cocoa Touch",,"Have experience with iOS development, Android development and web development. Have developed applications, in-app add-ons, games, and applications for iOS. Designed and implemented basic user interfaces. Created multiple different types of user interface for mobile applications.",I have a strong passion for developing mobile software and am looking to get into more projects. I would love to work with you to build a beautiful and functional app for your clients. I've been working with iOS for the past year and have created a few successful apps with good customer feedback and high ratings.,"Bloomberg is my chosen company because I see a lot of potential in it. Bloomberg aims to bring the world's best knowledge to its users, through the latest technologies and the brightest minds. I hope to one day work with the best developers, to build the greatest products and help users around the world.",,0,0,0.7,1,0,,,,"English
Communication
Conflict resolution
Organisation
Patience"
25,2,Bloomberg,iOS-developer,Axios,Junior iOS-developer,"Objective-C, С++, HTML, C#, Swift, Core Data, OOP, XCode, ARC, Cocoa Touch",,"While at Axios, I quickly became an indispensable member of our iOS development team, helping us work faster and better with our clients. I'm passionate about building great products and systems, and I love working in the open source community.","I have strong skills in iOS development, high attention to detail, excellent communication and problem solving skills. I am also a very fast learner and eager to learn new things. I would be happy to work with you to help build a new product.","Bloomberg is the leader in financial information. Their mission is to provide the information to make better decisions in every area of life. I hope that we will be able to build a strong relationship with the company and that I will be given the opportunity to grow as an iOS developer.
",,0,1,1,1,0,,,,"advertising
PR
product development
market research
Marketing Analytics
Marketing Management
Survey Research
Strategic Internet Marketing
Integrated Marketing Communications
"
26,5,Axios,Android Developer,Financial Times,Android Developer,"CSS , HTML, Ruby, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++",,"In Axios I learned how to build mobile applications for Android using Kotlin and Android Studio. In addition, I worked on new features that makes our app more usable and easy to use. I also expanded my knowledge and skills in developing and operational processes.","My previous work experience has given me the skills and experience needed to be successful in the role of Android Developer. I actively used such tools as Android Studio, Kotlin, Java and OOP to create the best solutions for the users. Moreover, it helps me to decrease amount and reach almost 0% of the bugs in my work.",I would be passionate about building new projects and expanding the business of financial news and data at Financial Times. I would like to work with an innovative team that is driven to provide the best in class customer service and knowledge amongs the world.,,0,1,1,1,0,,,,"cloud database management
Any Cloud Platform (Azure, AWS) knowledge/experience
MySQL
Hadoop
Microsoft Office knowledge (Word, PowerPoint, Excel, and Outlook)"
27,2,Axios,Android Developer,Financial Times,Android Developer,"CSS , HTML, Ruby, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++",,"Being a junior Android Developer at Financial Times, I demonstrated my knowledge and skills in developing complex Android applications using the latest technologies based on Ruby and Java. I worked on a variety of projects and have created large applications with large amount of data. I would like to apply my skills to developing new applications for Axios.","I am an experienced Android developer with over two years of working experience. I was a Junior Android developer in Financial Times, working on several projects. I am passionate about the Android platform and have a broad skill set that includes both the technical and non-technical aspects of the job.","In order to join Axios, I need to find a company with a great team and a fun atmosphere. I know that Axios is the perfect place to start. In the future, I hope to work on interesting projects and learn from some of the top experts in the field.",,0,1,0.8,0.2,0,,,,"Motivation
Customer Service
Communication
Negotiating
stress resistant"
28,1,Axios,Android Developer,Financial Times,Android Developer,"CSS , HTML, Ruby, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP",,"While working at Financial Times, I obtained my Bachelor’s degree in Computer Science from a local university. I worked as an Android Developer for Financial Times for 4 years. I had the opportunity to learn and practice the Android technologies and have taken on a growing number of projects.","I have a strong background in design and development. I was involved in creating a new product, and had a chance to develop it from scratch into something that could work within the financial industry. I understand the importance of having a stable product before launching it to a customer. This is something I know from my past experiences.",Axios is a well-known startup that creates great apps that are used by millions of users around the world. Axios has been awarded by TechCrunch as one of the top new startups in Europe for the last three years. You can trust your work is being done by talented and experienced developers.,,0,0.4,0,0,0,,,,"Strong multi-tasking skills
Excellent communication skills
Ability to work in a fast-paced environment
Proficiency in Microsoft Word and Excel"
29,1,Axios,Android Developer,Financial Times,Android Developer,"CSS , HTML, Ruby, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP",,"While working at Financial Times, I had the opportunity to build a number of Android applications, most notably the Financial Times News app. This experience helps me to understand the importance of testing and quality, as well as the benefits of continuous integration and continuous deployment.","I have a strong interest in both the technology and business aspects of the position. I am passionate about Android, as I feel that it is an extremely versatile platform and has great potential for development. As a junior developer, I am looking to learn more about the business side, as well as what I need to do to get ahead in terms of people management.
","To be a part of such a large and innovative project is extremely exciting. I know, that the opportunity to work with such an advanced team is very rare. I hope that my experience with the Financial Times will help me to make the transition to the Axios team a smooth one.",,0,1,1,0.7,0,,,,
30,9,SoundCloud,Lead Android developer,Disney,Senior Android developer,"HTML, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++, C#, MariaDB, MongoDB, Kubernetes, NodeJS, Team Management, People management, Math statistic ",,I am a self starter with an analytical mind and love to solve problems. I am passionate about creating new ideas and using them for solving real world problems. This is why I always keep learning and I also love challenging myself. I like to learn new things and apply them in my day to day work.,"In my last role at Disney, I led the Android team that developed the Disney Movies app which has over 4 million monthly active users. I used my skills in Android development, people management and math statistics to create a successful team. I continue to be a strong team leader and I’d be excited to continue working on exciting projects at SoundCloud.","As a senior Android developer, you will be a key member of a professional team and will be able to bring your expertise to bear on projects that require a high level of technical excellence. You will be expected to lead, manage and mentor a team of Android developers as well as maintain the Android SDK and tools.",,0,1,1,0,0,,,,"SQL, Python, ML, AI, Figma, Team management, Product management, B2B"
31,8,SoundCloud,Lead Android developer,Apple Music,Senior Android developer,"HTML, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++, C#, MariaDB, MongoDB, Kubernetes, NodeJS, Team Management, People management, Algorythms, Data Structure ",,"My background in Android development spans over 10 years. I started out as an Android Developer at Google, then went on to join Apple as a Systems Engineer. I've also worked at Spotify, Square, Slack, Uber, and more. I love what I do and have a passion for building great products.
","I am the most experienced Android developer in the industry, with 8 years of experience developing Android applications. I am looking for a challenging position that will allow me to use my skills to help build the future of music.","Soundcloud is one of my favorite music streaming service. I really like the way they are building their technology stack and I think it is very well structured.
I am interested in working in a team which is focused on delivering high-quality products and solutions in a music industry.",,0,0.3,0.6,1,0,,,,"POSTman, SQL, Python, Jira, Team management, Shell "
32,7,SoundCloud,Lead Android developer,Apple Music,Senior Android developer,"HTML, Python, Java, Kotlin, MySQL, SQLite, Android Studio, Android SDK, OOP, C++, C#, MariaDB, MongoDB, Kubernetes, NodeJS, Team Management, People management, Algorythms, Data Structure ",,"With over 7 years of experience in the software industry, I've worked on many different projects ranging from small businesses to large enterprises. I'm an enthusiastic and hardworking individual, who strives to always learn new things and grow professionally.","Being a senior Android developer, I not only have the technical skills to build the most amazing and cutting edge applications, but also the experience of building those applications. I can help create an application that will drive the growth of your company. I know how to get a solid product out the door quickly. I have a solid background in Data Structure and Algorythms. Moreover, I managed team of 7 developers and coached them in order to bring a value not only for the customers but for my team and business as well.","In my opinion, SoundCloud is the most interesting company in the music industry. It is a start-up with a big potential. I find it very interesting to work with talented team of engineers, designers, and developers. Also, I really like the culture of SoundCloud. That's why I want to be a part of your team.",,0,1,1,1,0,,,,"POSTman, SQL, Python, Jira, Team management, Shell, Regression tests, auto tests "
33,11,DoorDash,Lead Backend developer,Uber,Senior Backend developer,"Python, Django, HTML, CSS, JavaScript, API, PostgreSQL, SQL, MariaDB, Rest API, MongoDB, Git, Bitbucket, Jira, Team Management, People management, Algorythms, Data Structure, Symfony, Codeigniter, Yii, Zend Framework, Kohana",,"Working for Uber, I had the opportunity to build a lot of different backends for different products. And I would love to continue doing that.","I have been working as a backend developer for over 10 years. I hold various backend development certifications, and am extremely comfortable with the various programming languages and technologies. I work well with others to help coordinate and deliver projects, along with providing a clear understanding of the goals of each project. Morover, I had an experience to manage a team of the developers up to 50 members
","DoorDash is a startup. As a team member, I will have the opportunity to contribute to the success of this company and of my colleagues. DoorDash’s mission is to make delivering food fast, safe and convenient for everyone. I believe, that this is bringing us to the future of the foodtech, and by my work I want to have a tangible impact on this industry and DoorDash.",,0,1,1,1,0,,,,"POSTman, Selenium, SQL, Python, Jira, Team management, Shell, Regression tests, Auto tests"
